,Start station,End station,Start date,Start station number,End date,End station number,Account type,Total duration (Seconds)
0,100 Main Street SE,100 Main Street SE,969,969,969,969,969,969
1,100 Main Street SE,10th Street & Nicollet Mall,52,52,52,52,52,52
2,100 Main Street SE,11th Ave S & S 2nd Street,634,634,634,634,634,634
3,100 Main Street SE,11th Street & Hennepin,101,101,101,101,101,101
4,100 Main Street SE,11th Street & Marquette,100,100,100,100,100,100
5,100 Main Street SE,15th Ave SE & 4th Street SE,37,37,37,37,37,37
6,100 Main Street SE,15th Ave SE & Como Ave SE,33,33,33,33,33,33
7,100 Main Street SE,18th Ave Trail & 2nd Street NE,25,25,25,25,25,25
8,100 Main Street SE,22nd Ave NE & California Street NE,40,40,40,40,40,40
9,100 Main Street SE,22nd Ave S & Franklin Ave,16,16,16,16,16,16
10,100 Main Street SE,23rd Ave SE & 6th Street SE,15,15,15,15,15,15
11,100 Main Street SE,23rd Ave SE & University Ave SE,33,33,33,33,33,33
12,100 Main Street SE,25th Street & 33rd Ave S,10,10,10,10,10,10
13,100 Main Street SE,26th Street & Hennepin,8,8,8,8,8,8
14,100 Main Street SE,26th Street & Lyndale,8,8,8,8,8,8
15,100 Main Street SE,27th Ave S & Minnehaha Ave,3,3,3,3,3,3
16,100 Main Street SE,27th Ave SE & University Ave,32,32,32,32,32,32
17,100 Main Street SE,28th Street & Nicollet Ave. S,4,4,4,4,4,4
18,100 Main Street SE,2nd Ave N & N 6th Street,95,95,95,95,95,95
19,100 Main Street SE,2nd Ave N & Washington Ave N,133,133,133,133,133,133
20,100 Main Street SE,2nd Ave S & S 3rd Street,79,79,79,79,79,79
21,100 Main Street SE,2nd Street N & 8th Ave N,64,64,64,64,64,64
22,100 Main Street SE,2nd Street SE & 5th Ave SE,59,59,59,59,59,59
23,100 Main Street SE,38th Street Light Rail Station,3,3,3,3,3,3
24,100 Main Street SE,3rd Ave S & E 38th Street,2,2,2,2,2,2
25,100 Main Street SE,3rd Street N & 8th Ave N,50,50,50,50,50,50
26,100 Main Street SE,3rd Street NE & Lowry Ave NE,8,8,8,8,8,8
27,100 Main Street SE,4th Street & 13th Ave SE,109,109,109,109,109,109
28,100 Main Street SE,4th Street & 17th Ave SE,25,25,25,25,25,25
29,100 Main Street SE,4th Street S & 19th Ave,16,16,16,16,16,16
30,100 Main Street SE,5th Ave N & 4th Street N,35,35,35,35,35,35
31,100 Main Street SE,5th Street NE & 1st Ave NE,8,8,8,8,8,8
32,100 Main Street SE,5th Street NE & 3rd Ave NE,26,26,26,26,26,26
33,100 Main Street SE,6th Ave SE & University Ave,145,145,145,145,145,145
34,100 Main Street SE,7th Street & 4th Ave S,62,62,62,62,62,62
35,100 Main Street SE,7th Street N & Plymouth Ave N,3,3,3,3,3,3
36,100 Main Street SE,7th Street SE & 10th Ave SE,19,19,19,19,19,19
37,100 Main Street SE,9th Street & 4th Ave,26,26,26,26,26,26
38,100 Main Street SE,9th Street N & Hawthorne Ave,64,64,64,64,64,64
39,100 Main Street SE,Bohemian Flats,51,51,51,51,51,51
40,100 Main Street SE,Boom Island Park,278,278,278,278,278,278
41,100 Main Street SE,Broadway & Marshall Street NE,83,83,83,83,83,83
42,100 Main Street SE,Carleton Street & University Ave ,2,2,2,2,2,2
43,100 Main Street SE,Central Ave NE & 22nd Ave NE,20,20,20,20,20,20
44,100 Main Street SE,Chicago & 27th Street,2,2,2,2,2,2
45,100 Main Street SE,Chicago Ave & S Washington Ave,254,254,254,254,254,254
46,100 Main Street SE,Civil Engineering,4,4,4,4,4,4
47,100 Main Street SE,Cleveland Ave S & Highland Parkway,2,2,2,2,2,2
48,100 Main Street SE,Coffman Union,30,30,30,30,30,30
49,100 Main Street SE,Coldwater Spring,1,1,1,1,1,1
50,100 Main Street SE,Como Ave SE & 29th Ave SE,10,10,10,10,10,10
51,100 Main Street SE,Cooke Hall,8,8,8,8,8,8
52,100 Main Street SE,Curfew Street & Ellis Ave.,9,9,9,9,9,9
53,100 Main Street SE,Currie Park,15,15,15,15,15,15
54,100 Main Street SE,Delaware Street SE & 26th Ave SE,18,18,18,18,18,18
55,100 Main Street SE,Dupont Ave & 22nd Street,6,6,6,6,6,6
56,100 Main Street SE,Dupont Ave S & W 29th Street,10,10,10,10,10,10
57,100 Main Street SE,E 38th Street & 42nd Ave S,1,1,1,1,1,1
58,100 Main Street SE,E Franklin Ave & Bloomington Ave S,2,2,2,2,2,2
